"id";"title";"pages";"year";"date";"url";"conference_name";"count"
61;"Reliable Service Composition via Automatic QoS Prediction.";"200-207";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.45";"IEEE SCC";0
62;"Space Profile-Based Reverse Geocoding Service Using Cloud Platform.";"842-843";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.116";"IEEE SCC";0
63;"Cloud Security Issues.";"517-520";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.84";"IEEE SCC";0
64;"A Framework for Assessing Business Value of Service Oriented Architectures.";"670-671";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.7";"IEEE SCC";0
65;"A New Approach for Quality Enforcement in Communities of Web Services.";"472-479";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.44";"IEEE SCC";0
66;"A Contribution to Organizational and Operational Strategic Alignment: Incorporating Business Level Agreements into Business Process Modeling.";"17-24";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.111";"IEEE SCC";0
67;"An Approach to Hosting Versioned Web Services.";"76-82";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.24";"IEEE SCC";0
68;"m3po: An Ontology to Relate Choreographies to Workflow Models.";"19-27";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.65";"IEEE SCC";0
69;"Service Contract Template.";"511";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.89";"IEEE SCC";0
70;"Cloud Service Selection Based on the Aggregation of User Feedback and Quantitative Performance Assessment.";"152-159";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.92";"IEEE SCC";0
71;"IT service management automation - A hybrid methodology to integrate and orchestrate collaborative human centric and automation centric workflows.";"574-581";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.75";"IEEE SCC";0
72;"Rough Formal Concepts and Their Accuracies.";"445-448";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358039";"IEEE SCC";0
